symbol,quant_rating,ref_price,date_added,status
SNEX,4.90,118.50,2026-06-30,hold
SNDK,4.99,2273.73,2026-06-30,hold
MXL,4.99,128.03,2026-06-30,hold
CRDO,4.96,271.95,2026-06-30,hold
NEXA,4.41,12.24,2026-06-30,hold
CSTM,4.85,31.87,2026-06-30,hold
LITE,4.98,858.06,2026-06-30,hold
FN,4.27,562.08,2026-06-30,hold
GM,4.81,77.08,2026-06-30,hold
DY,4.79,505.59,2026-06-30,hold
NEM,4.02,93.40,2026-06-30,hold
B,3.90,36.73,2026-06-30,hold
TIGO,3.18,90.76,2026-06-30,hold
W,3.76,92.42,2026-06-30,hold
PARR,4.75,56.08,2026-06-30,hold
INCY,4.67,113.36,2026-06-30,hold
MU,4.99,1154.29,2026-06-30,hold
TTMI,4.97,187.02,2026-06-30,hold
CDE,2.91,16.32,2026-06-30,hold
KGC,3.51,23.62,2026-06-30,hold
VISN,3.39,12.78,2026-06-30,hold
STRL,4.94,839.36,2026-06-30,hold
SSRM,3.19,28.28,2026-06-30,hold
UNFI,4.12,45.67,2026-06-30,hold
MFC,3.22,40.51,2026-06-30,hold
EAT,3.92,168.00,2026-06-30,hold
EZPW,4.76,34.57,2026-06-30,hold
ALL,4.84,237.94,2026-06-30,hold
CLS,4.73,364.80,2026-06-30,hold
CCL,3.17,28.57,2026-06-30,hold
AGX,3.47,798.55,2026-06-30,hold
POWL,3.34,286.36,2026-06-30,hold
SYF,3.17,76.05,2026-06-30,hold
CVSA,4.12,124.66,2026-06-30,hold
BRK.B,3.45,500.39,2026-06-30,hold
BLBD,4.19,78.96,2026-06-30,hold
OKTA,4.84,136.45,2026-06-30,hold
TWLO,4.87,206.33,2026-06-30,hold
APP,4.26,515.23,2026-06-30,hold
TMUS,3.26,167.73,2026-06-30,hold
CAAP,2.76,25.18,2026-06-30,hold
